text,true_label,true_intent,pred_label,pred_intent,pred_confidence,top_k_intents,top_k_probs
my card was not in the mail again can you advise?,12,card_delivery_estimate,11,card_arrival,0.9601348638534546,"['card_arrival', 'card_delivery_estimate', 'lost_or_stolen_card']","[0.9601348638534546, 0.009393918327987194, 0.005907929502427578]"
Can I get my card expedited?,12,card_delivery_estimate,11,card_arrival,0.8646711707115173,"['card_arrival', 'card_delivery_estimate', 'card_about_to_expire']","[0.8646711707115173, 0.11107423156499863, 0.006935335695743561]"
I am waiting for my card to arrive.,12,card_delivery_estimate,11,card_arrival,0.9264478087425232,"['card_arrival', 'card_delivery_estimate', 'transfer_not_received_by_recipient']","[0.9264478087425232, 0.05660375952720642, 0.003861430799588561]"
where is theft-top option?,4,automatic_top_up,71,verify_top_up,0.4101938307285309,"['verify_top_up', 'top_up_by_cash_or_cheque', 'automatic_top_up']","[0.4101938307285309, 0.14567840099334717, 0.10396271198987961]"
How do I make sure I don't run out of money on my card while traveling?,4,automatic_top_up,14,card_not_working,0.19849532842636108,"['card_not_working', 'automatic_top_up', 'top_up_failed']","[0.19849532842636108, 0.07674738764762878, 0.0638173371553421]"
Can I space out how often money is transferred along my travels?,4,automatic_top_up,67,transfer_timing,0.16183842718601227,"['transfer_timing', 'receiving_money', 'verify_source_of_funds']","[0.16183842718601227, 0.14219363033771515, 0.12935197353363037]"
"Is there a top-up feature, if there isn't a lot of money left?",4,automatic_top_up,60,top_up_limits,0.5940834283828735,"['top_up_limits', 'automatic_top_up', 'top_up_failed']","[0.5940834283828735, 0.10621396452188492, 0.06572060286998749]"
How do I unblock my card using the app?,14,card_not_working,49,pin_blocked,0.9849551320075989,"['pin_blocked', 'change_pin', 'get_physical_card']","[0.9849551320075989, 0.0013220533728599548, 0.0011088603641837835]"
How would I use my money in a different country?,33,exchange_via_app,50,receiving_money,0.41561874747276306,"['receiving_money', 'exchange_rate', 'country_support']","[0.41561874747276306, 0.19285108149051666, 0.09241631627082825]"
Can I change my currency from USD to EUR?,33,exchange_via_app,36,fiat_currency_support,0.9406750202178955,"['fiat_currency_support', 'exchange_via_app', 'supported_cards_and_currencies']","[0.9406750202178955, 0.04251236841082573, 0.004847262054681778]"
Is a copy of the police report necessary for completing the report process?,41,lost_or_stolen_card,74,why_verify_identity,0.34783414006233215,"['why_verify_identity', 'card_arrival', 'card_delivery_estimate']","[0.34783414006233215, 0.34308913350105286, 0.0518796481192112]"
"Someone stole my wallet earlier today, not sure exactly when, probably on Piccadilly circus. Can you check if there were any attempts to use the card and obviously block it?",41,lost_or_stolen_card,18,card_swallowed,0.5281327962875366,"['card_swallowed', 'cash_withdrawal_not_recognised', 'lost_or_stolen_card']","[0.5281327962875366, 0.1251886636018753, 0.12299641966819763]"
Where can I view my PIN?,49,pin_blocked,38,get_physical_card,0.9754040241241455,"['get_physical_card', 'change_pin', 'pin_blocked']","[0.9754040241241455, 0.010842328891158104, 0.005786913447082043]"
Will you reinstate my PIN?,49,pin_blocked,21,change_pin,0.8621346354484558,"['change_pin', 'pin_blocked', 'get_physical_card']","[0.8621346354484558, 0.07686373591423035, 0.04686037451028824]"
"How do I reset my PIN, I can't seem to use my card?",49,pin_blocked,21,change_pin,0.6090076565742493,"['change_pin', 'pin_blocked', 'get_physical_card']","[0.6090076565742493, 0.3621031641960144, 0.01189514808356762]"
Can I reactivate my PIN?,49,pin_blocked,21,change_pin,0.7478192448616028,"['change_pin', 'pin_blocked', 'get_physical_card']","[0.7478192448616028, 0.13034452497959137, 0.09255355596542358]"
How do I reset my PIN?,49,pin_blocked,21,change_pin,0.8169892430305481,"['change_pin', 'pin_blocked', 'get_physical_card']","[0.8169892430305481, 0.15820427238941193, 0.012835124507546425]"
"My card's frozen, what can I do?",49,pin_blocked,14,card_not_working,0.9439683556556702,"['card_not_working', 'lost_or_stolen_card', 'declined_card_payment']","[0.9439683556556702, 0.01852969266474247, 0.007521566469222307]"
My contanctless has stopped working,23,contactless_not_working,14,card_not_working,0.3838295340538025,"['card_not_working', 'contactless_not_working', 'virtual_card_not_working']","[0.3838295340538025, 0.2821173667907715, 0.0740029588341713]"
what is required documents for new card process ?,23,contactless_not_working,9,card_about_to_expire,0.21762941777706146,"['card_about_to_expire', 'order_physical_card', 'activate_my_card']","[0.21762941777706146, 0.20120202004909515, 0.18431366980075836]"
The NFC payment wouldn't work on the bus today. Help?,23,contactless_not_working,25,declined_card_payment,0.29908397793769836,"['declined_card_payment', 'declined_transfer', 'failed_transfer']","[0.29908397793769836, 0.2426658570766449, 0.052135270088911057]"
what is the charges for new card?,23,contactless_not_working,43,order_physical_card,0.5140386819839478,"['order_physical_card', 'card_payment_fee_charged', 'top_up_by_card_charge']","[0.5140386819839478, 0.3716845214366913, 0.037255216389894485]"
Should i reinstall the payment app?,23,contactless_not_working,28,direct_debit_payment_not_recognised,0.638762354850769,"['direct_debit_payment_not_recognised', 'request_refund', 'reverted_card_payment?']","[0.638762354850769, 0.1247362568974495, 0.05857498571276665]"
If I make a top-up are there charges applied?,56,top_up_by_bank_transfer_charge,57,top_up_by_card_charge,0.5530754923820496,"['top_up_by_card_charge', 'top_up_by_bank_transfer_charge', 'top_up_by_cash_or_cheque']","[0.5530754923820496, 0.3649938106536865, 0.028138695284724236]"
I would like to refill my account using SWIFT.,56,top_up_by_bank_transfer_charge,57,top_up_by_card_charge,0.22486039996147156,"['top_up_by_card_charge', 'top_up_by_cash_or_cheque', 'automatic_top_up']","[0.22486039996147156, 0.12046181410551071, 0.09186539798974991]"
Will a transfer incur a fee?,56,top_up_by_bank_transfer_charge,64,transfer_fee_charged,0.8676091432571411,"['transfer_fee_charged', 'top_up_by_bank_transfer_charge', 'beneficiary_not_allowed']","[0.8676091432571411, 0.11900700628757477, 0.001677604508586228]"
What are the fees for top-ups?,56,top_up_by_bank_transfer_charge,57,top_up_by_card_charge,0.9648802280426025,"['top_up_by_card_charge', 'top_up_by_bank_transfer_charge', 'top_up_by_cash_or_cheque']","[0.9648802280426025, 0.013289561495184898, 0.0062756771221756935]"
Can you tell me what the transfer policy is?,56,top_up_by_bank_transfer_charge,50,receiving_money,0.30315566062927246,"['receiving_money', 'transfer_into_account', 'transfer_timing']","[0.30315566062927246, 0.2923690974712372, 0.10424848645925522]"
What us the fee to transfer money from my bank?,56,top_up_by_bank_transfer_charge,64,transfer_fee_charged,0.4786010980606079,"['transfer_fee_charged', 'top_up_by_bank_transfer_charge', 'transfer_into_account']","[0.4786010980606079, 0.46934187412261963, 0.016894115135073662]"
"new customer and filling gas today, it's not working, the thing shows pending half an hour!",47,pending_top_up,46,pending_cash_withdrawal,0.23108042776584625,"['pending_cash_withdrawal', 'pending_card_payment', 'card_delivery_estimate']","[0.23108042776584625, 0.1607927680015564, 0.0793270468711853]"
I  do not see a top-up processed.,47,pending_top_up,59,top_up_failed,0.38492634892463684,"['top_up_failed', 'pending_top_up', 'topping_up_by_card']","[0.38492634892463684, 0.11265566200017929, 0.10321979969739914]"
"OMG!  I'm trying to load my card and it wont top up!  I desperately need the money either on my card or in my bank, where is it?",47,pending_top_up,59,top_up_failed,0.9301695227622986,"['top_up_failed', 'topping_up_by_card', 'pending_top_up']","[0.9301695227622986, 0.031883083283901215, 0.017846835777163506]"
Where is the money I topped off with?,47,pending_top_up,62,topping_up_by_card,0.7036111354827881,"['topping_up_by_card', 'top_up_by_card_charge', 'top_up_by_cash_or_cheque']","[0.7036111354827881, 0.12608127295970917, 0.0479511134326458]"
I want to go back on what I did this morning,8,cancel_transfer,30,edit_personal_details,0.22712934017181396,"['edit_personal_details', 'cancel_transfer', 'terminate_account']","[0.22712934017181396, 0.18915043771266937, 0.12685848772525787]"
Can I change the amount I made on a payment that I made to the payment is correct.,8,cancel_transfer,52,request_refund,0.6180592775344849,"['request_refund', 'edit_personal_details', 'cancel_transfer']","[0.6180592775344849, 0.15749819576740265, 0.07211484014987946]"
Am I free to top-up as much as I want?,60,top_up_limits,57,top_up_by_card_charge,0.9052780866622925,"['top_up_by_card_charge', 'top_up_by_bank_transfer_charge', 'top_up_limits']","[0.9052780866622925, 0.03701534867286682, 0.01084944698959589]"
Is there any limit to the amount I can add to a card at a time?,60,top_up_limits,39,getting_spare_card,0.37355658411979675,"['getting_spare_card', 'disposable_card_limits', 'top_up_limits']","[0.37355658411979675, 0.21531496942043304, 0.1835428923368454]"
Where is the money I pushed it's on my mobile app as being withdrawn.,75,wrong_amount_of_cash_received,20,cash_withdrawal_not_recognised,0.7883138656616211,"['cash_withdrawal_not_recognised', 'pending_cash_withdrawal', 'card_swallowed']","[0.7883138656616211, 0.1700160950422287, 0.004586364608258009]"
My cash withdrawal was partly declined,75,wrong_amount_of_cash_received,26,declined_cash_withdrawal,0.9860692024230957,"['declined_cash_withdrawal', 'wrong_amount_of_cash_received', 'pending_cash_withdrawal']","[0.9860692024230957, 0.002993813017383218, 0.0017890534363687038]"
Will declined funds I tried to withdraw be returned to me?,75,wrong_amount_of_cash_received,26,declined_cash_withdrawal,0.9873759746551514,"['declined_cash_withdrawal', 'cash_withdrawal_charge', 'wrong_amount_of_cash_received']","[0.9873759746551514, 0.001993452198803425, 0.00154590024612844]"
"I show another charge on my card from when I used it, why?",15,card_payment_fee_charged,16,card_payment_not_recognised,0.6663768887519836,"['card_payment_not_recognised', 'direct_debit_payment_not_recognised', 'card_payment_fee_charged']","[0.6663768887519836, 0.12324798852205276, 0.10038057714700699]"
im not sure what this charge is for,15,card_payment_fee_charged,28,direct_debit_payment_not_recognised,0.5500951409339905,"['direct_debit_payment_not_recognised', 'extra_charge_on_statement', 'card_payment_not_recognised']","[0.5500951409339905, 0.20118793845176697, 0.1728203296661377]"
What fees apply when using a card?,15,card_payment_fee_charged,43,order_physical_card,0.5700842142105103,"['order_physical_card', 'card_payment_fee_charged', 'card_acceptance']","[0.5700842142105103, 0.2839961051940918, 0.06862141937017441]"
how long do money transfers take?,66,transfer_not_received_by_recipient,5,balance_not_updated_after_bank_transfer,0.9101383686065674,"['balance_not_updated_after_bank_transfer', 'transfer_timing', 'pending_transfer']","[0.9101383686065674, 0.04744849354028702, 0.02638900652527809]"
Where is the transfer I started?,66,transfer_not_received_by_recipient,5,balance_not_updated_after_bank_transfer,0.7184946537017822,"['balance_not_updated_after_bank_transfer', 'transfer_timing', 'transfer_not_received_by_recipient']","[0.7184946537017822, 0.16152524948120117, 0.03963097184896469]"
transaction failed?,66,transfer_not_received_by_recipient,35,failed_transfer,0.8689521551132202,"['failed_transfer', 'cancel_transfer', 'transfer_not_received_by_recipient']","[0.8689521551132202, 0.03143196552991867, 0.015473929233849049]"
The receipient doesn't see my money transfer.,66,transfer_not_received_by_recipient,48,pending_transfer,0.5548831224441528,"['pending_transfer', 'transfer_not_received_by_recipient', 'balance_not_updated_after_bank_transfer']","[0.5548831224441528, 0.3411984443664551, 0.05080457031726837]"
When will my funds transfer?,66,transfer_not_received_by_recipient,5,balance_not_updated_after_bank_transfer,0.4757108986377716,"['balance_not_updated_after_bank_transfer', 'pending_transfer', 'transfer_timing']","[0.4757108986377716, 0.3454247713088989, 0.14584070444107056]"
Which forms of currency are accepted?,54,supported_cards_and_currencies,36,fiat_currency_support,0.8494648337364197,"['fiat_currency_support', 'supported_cards_and_currencies', 'exchange_via_app']","[0.8494648337364197, 0.10678073763847351, 0.010950650088489056]"
Do you accept other currencies besides US Dollars?,54,supported_cards_and_currencies,36,fiat_currency_support,0.7362999320030212,"['fiat_currency_support', 'supported_cards_and_currencies', 'exchange_via_app']","[0.7362999320030212, 0.11562880128622055, 0.08758269995450974]"
Can I get a copy of the card by email?,40,getting_virtual_card,11,card_arrival,0.5848300457000732,"['card_arrival', 'order_physical_card', 'card_linking']","[0.5848300457000732, 0.09973663091659546, 0.09674269706010818]"
It will be fine to use at any establishment that accepts Mastercard.,10,card_acceptance,54,supported_cards_and_currencies,0.4494539797306061,"['supported_cards_and_currencies', 'card_acceptance', 'visa_or_mastercard']","[0.4494539797306061, 0.39659029245376587, 0.04307078197598457]"
What stores can I sue my card?,10,card_acceptance,28,direct_debit_payment_not_recognised,0.6163840889930725,"['direct_debit_payment_not_recognised', 'compromised_card', 'card_not_working']","[0.6163840889930725, 0.04044128954410553, 0.039900872856378555]"
"I am traveling to Germany, Will I be able to use my card there?",10,card_acceptance,24,country_support,0.9255185127258301,"['country_support', 'card_about_to_expire', 'visa_or_mastercard']","[0.9255185127258301, 0.029881209135055542, 0.005909350235015154]"
Where should my card work?,10,card_acceptance,14,card_not_working,0.9633432626724243,"['card_not_working', 'lost_or_stolen_card', 'card_acceptance']","[0.9633432626724243, 0.0069254320114851, 0.004554055631160736]"
areas card is accpeted,10,card_acceptance,43,order_physical_card,0.3859211802482605,"['order_physical_card', 'card_acceptance', 'getting_spare_card']","[0.3859211802482605, 0.22318902611732483, 0.09784378856420517]"
"Hi, i don't know what's going on i've just paid for my top up twice by accident can you help me get a refund please.",61,top_up_reverted,63,transaction_charged_twice,0.9735370874404907,"['transaction_charged_twice', 'top_up_limits', 'top_up_reverted']","[0.9735370874404907, 0.0028484624344855547, 0.0024496002588421106]"
The app wouldn't accept my top up.,61,top_up_reverted,59,top_up_failed,0.9718876481056213,"['top_up_failed', 'topping_up_by_card', 'top_up_reverted']","[0.9718876481056213, 0.009096664376556873, 0.0032359089236706495]"
"I believe my money did not go through with my top up, was there a problem on your end?",61,top_up_reverted,59,top_up_failed,0.8373709321022034,"['top_up_failed', 'pending_top_up', 'top_up_reverted']","[0.8373709321022034, 0.08672758936882019, 0.0637061595916748]"
I put money into my account for the minimum balance but the application didn't accept.,61,top_up_reverted,47,pending_top_up,0.3735668361186981,"['pending_top_up', 'pending_cash_withdrawal', 'transfer_timing']","[0.3735668361186981, 0.10826489329338074, 0.07676481455564499]"
I tryed to make a top-up with cryptocurrency but the payment was referted.,61,top_up_reverted,59,top_up_failed,0.45462846755981445,"['top_up_failed', 'top_up_reverted', 'topping_up_by_card']","[0.45462846755981445, 0.4064878523349762, 0.031227925792336464]"
On my last transaction it seem that my top-up was not successful.,61,top_up_reverted,59,top_up_failed,0.9542301893234253,"['top_up_failed', 'top_up_reverted', 'pending_top_up']","[0.9542301893234253, 0.030030114576220512, 0.00814078003168106]"
I have paid money into my account but it doesn't show.,6,balance_not_updated_after_cheque_or_cash_deposit,16,card_payment_not_recognised,0.6495336294174194,"['card_payment_not_recognised', 'direct_debit_payment_not_recognised', 'balance_not_updated_after_cheque_or_cash_deposit']","[0.6495336294174194, 0.06951659917831421, 0.04804988577961922]"
Why does my account not accept cash deposits?,6,balance_not_updated_after_cheque_or_cash_deposit,26,declined_cash_withdrawal,0.6883581876754761,"['declined_cash_withdrawal', 'cash_withdrawal_not_recognised', 'wrong_exchange_rate_for_cash_withdrawal']","[0.6883581876754761, 0.07736685872077942, 0.056723058223724365]"
What happened to the cash that I tried to deposit into my account? It's gone!,6,balance_not_updated_after_cheque_or_cash_deposit,20,cash_withdrawal_not_recognised,0.5834528207778931,"['cash_withdrawal_not_recognised', 'balance_not_updated_after_cheque_or_cash_deposit', 'top_up_by_cash_or_cheque']","[0.5834528207778931, 0.2955402433872223, 0.02841777354478836]"
There are some payments with my card that I don't know where they are coming from. Just checked today and it's been since a couple days as well! What to I do? Can I revert this retrospectively? My card needs to be frozen immediately as well!,16,card_payment_not_recognised,53,reverted_card_payment?,0.7933863997459412,"['reverted_card_payment?', 'pending_card_payment', 'card_payment_not_recognised']","[0.7933863997459412, 0.06270948797464371, 0.05870436504483223]"
Can you freeze my account?  I just saw there are transactions on my account that I don't recognize.  How can I fix this?,16,card_payment_not_recognised,22,compromised_card,0.8901238441467285,"['compromised_card', 'cash_withdrawal_not_recognised', 'card_payment_not_recognised']","[0.8901238441467285, 0.049230385571718216, 0.02438618242740631]"
What should I do to get transactions off of my account if I didn't make them?  My card must have been compromised and I need to freeze it asap!,16,card_payment_not_recognised,22,compromised_card,0.716641902923584,"['compromised_card', 'cash_withdrawal_not_recognised', 'lost_or_stolen_card']","[0.716641902923584, 0.09980032593011856, 0.08707894384860992]"
I have an unauthorized transaction on my statement,16,card_payment_not_recognised,28,direct_debit_payment_not_recognised,0.4051362872123718,"['direct_debit_payment_not_recognised', 'cancel_transfer', 'transfer_not_received_by_recipient']","[0.4051362872123718, 0.18275563418865204, 0.13109411299228668]"
I'd rather not verify my identity.,74,why_verify_identity,68,unable_to_verify_identity,0.6530873775482178,"['unable_to_verify_identity', 'why_verify_identity', 'verify_my_identity']","[0.6530873775482178, 0.3194814622402191, 0.01103485282510519]"
What is the need to verify my identity?,74,why_verify_identity,69,verify_my_identity,0.809937596321106,"['verify_my_identity', 'why_verify_identity', 'unable_to_verify_identity']","[0.809937596321106, 0.17308592796325684, 0.002935184631496668]"
Do I have to do the identity check?,74,why_verify_identity,69,verify_my_identity,0.8760448694229126,"['verify_my_identity', 'why_verify_identity', 'unable_to_verify_identity']","[0.8760448694229126, 0.10852859169244766, 0.0031696984078735113]"
Do I have to do an identity check?,74,why_verify_identity,69,verify_my_identity,0.8835919499397278,"['verify_my_identity', 'why_verify_identity', 'unable_to_verify_identity']","[0.8835919499397278, 0.10114546120166779, 0.00301396194845438]"
Do I really need to verify my identity?,74,why_verify_identity,69,verify_my_identity,0.8620107769966125,"['verify_my_identity', 'why_verify_identity', 'verify_top_up']","[0.8620107769966125, 0.11892032623291016, 0.003463365836068988]"
I won't verify my identity.,74,why_verify_identity,68,unable_to_verify_identity,0.9657600522041321,"['unable_to_verify_identity', 'why_verify_identity', 'lost_or_stolen_phone']","[0.9657600522041321, 0.009939797222614288, 0.0028199334628880024]"
What other methods are there to verify my identity?,74,why_verify_identity,69,verify_my_identity,0.964921772480011,"['verify_my_identity', 'why_verify_identity', 'verify_top_up']","[0.964921772480011, 0.00808852631598711, 0.002546753268688917]"
Do I need to verify my identity?,74,why_verify_identity,69,verify_my_identity,0.9378814697265625,"['verify_my_identity', 'why_verify_identity', 'unable_to_verify_identity']","[0.9378814697265625, 0.04720430076122284, 0.0019001219188794494]"
Do I have to verify my identity?,74,why_verify_identity,69,verify_my_identity,0.9379662275314331,"['verify_my_identity', 'why_verify_identity', 'verify_top_up']","[0.9379662275314331, 0.0462651252746582, 0.001970346551388502]"
The app will not let me into my account.,68,unable_to_verify_identity,55,terminate_account,0.40043455362319946,"['terminate_account', 'lost_or_stolen_phone', 'unable_to_verify_identity']","[0.40043455362319946, 0.21620208024978638, 0.0853729173541069]"
What do i need to verify my id?,68,unable_to_verify_identity,69,verify_my_identity,0.9245090484619141,"['verify_my_identity', 'unable_to_verify_identity', 'why_verify_identity']","[0.9245090484619141, 0.03700204938650131, 0.0208380538970232]"
How do I show this stupid system that this is really my identity?,68,unable_to_verify_identity,74,why_verify_identity,0.49751904606819153,"['why_verify_identity', 'unable_to_verify_identity', 'verify_my_identity']","[0.49751904606819153, 0.36583298444747925, 0.09186340868473053]"
where in the app can i find out about my new pin,38,get_physical_card,21,change_pin,0.714285135269165,"['change_pin', 'get_physical_card', 'pin_blocked']","[0.714285135269165, 0.23210284113883972, 0.0376296192407608]"
Am I allowed to use any card to make a payment?,73,visa_or_mastercard,10,card_acceptance,0.8044043779373169,"['card_acceptance', 'order_physical_card', 'supported_cards_and_currencies']","[0.8044043779373169, 0.07702000439167023, 0.028417954221367836]"
What are the available cards?,73,visa_or_mastercard,43,order_physical_card,0.9163501262664795,"['order_physical_card', 'getting_spare_card', 'card_acceptance']","[0.9163501262664795, 0.036617327481508255, 0.008086556568741798]"
What major card payments are accepted?,73,visa_or_mastercard,10,card_acceptance,0.3536832332611084,"['card_acceptance', 'card_payment_fee_charged', 'supported_cards_and_currencies']","[0.3536832332611084, 0.11406960338354111, 0.10983605682849884]"
WHERE IS MY MONEY I WAS USING MY CARD AND IT DISAPPEARED,62,topping_up_by_card,20,cash_withdrawal_not_recognised,0.5715500116348267,"['cash_withdrawal_not_recognised', 'compromised_card', 'lost_or_stolen_card']","[0.5715500116348267, 0.26512059569358826, 0.03624226897954941]"
Where's the money that got charged to my card? It's not showing up in my account balance,62,topping_up_by_card,15,card_payment_fee_charged,0.4671057462692261,"['card_payment_fee_charged', 'transfer_fee_charged', 'extra_charge_on_statement']","[0.4671057462692261, 0.11391370743513107, 0.09192270040512085]"
how can i top up?,62,topping_up_by_card,60,top_up_limits,0.8856123685836792,"['top_up_limits', 'topping_up_by_card', 'top_up_by_cash_or_cheque']","[0.8856123685836792, 0.03625358268618584, 0.02626110427081585]"
"I am missing some funds from my account - I tried to transfer them using my credit card number, and it disappeared.",62,topping_up_by_card,22,compromised_card,0.4612756669521332,"['compromised_card', 'lost_or_stolen_card', 'top_up_reverted']","[0.4612756669521332, 0.12498124688863754, 0.08986536413431168]"
"I did a top-up, but I'm not seeing it in my wallet yet.",62,topping_up_by_card,47,pending_top_up,0.8475980758666992,"['pending_top_up', 'topping_up_by_card', 'top_up_failed']","[0.8475980758666992, 0.11858570575714111, 0.005364609882235527]"
"i know i entered the right info, but my top up isn't in my balance",62,topping_up_by_card,47,pending_top_up,0.7935745120048523,"['pending_top_up', 'topping_up_by_card', 'top_up_failed']","[0.7935745120048523, 0.1597152054309845, 0.0175170861184597]"
Cannot access my top up.,62,topping_up_by_card,59,top_up_failed,0.7444747090339661,"['top_up_failed', 'topping_up_by_card', 'top_up_limits']","[0.7444747090339661, 0.16966666281223297, 0.042000576853752136]"
Why is my money gone right when I attempted to top up,62,topping_up_by_card,59,top_up_failed,0.43756529688835144,"['top_up_failed', 'topping_up_by_card', 'top_up_reverted']","[0.43756529688835144, 0.2931503355503082, 0.1444242000579834]"
Why can't I see the top-up amount I just added to my account?,62,topping_up_by_card,47,pending_top_up,0.4556773602962494,"['pending_top_up', 'top_up_limits', 'top_up_failed']","[0.4556773602962494, 0.23594969511032104, 0.12569859623908997]"
Do these virtual cards have any caps on using them?,29,disposable_card_limits,40,getting_virtual_card,0.5194716453552246,"['getting_virtual_card', 'get_disposable_virtual_card', 'disposable_card_limits']","[0.5194716453552246, 0.18518833816051483, 0.0737956166267395]"
What is the maximum number of transactions I can make with one card?,29,disposable_card_limits,39,getting_spare_card,0.7519777417182922,"['getting_spare_card', 'disposable_card_limits', 'order_physical_card']","[0.7519777417182922, 0.1547582894563675, 0.03321273997426033]"
How can I create many temporary cards daily?,29,disposable_card_limits,39,getting_spare_card,0.8971134424209595,"['getting_spare_card', 'disposable_card_limits', 'order_physical_card']","[0.8971134424209595, 0.057781483978033066, 0.006697294767946005]"
How many virtual cards do I get?,29,disposable_card_limits,40,getting_virtual_card,0.943292498588562,"['getting_virtual_card', 'disposable_card_limits', 'get_disposable_virtual_card']","[0.943292498588562, 0.01760687492787838, 0.016651108860969543]"
What can I use a virtual disposable card for?,29,disposable_card_limits,37,get_disposable_virtual_card,0.9765218496322632,"['get_disposable_virtual_card', 'virtual_card_not_working', 'disposable_card_limits']","[0.9765218496322632, 0.004236529115587473, 0.004151197150349617]"
